"","sector","rank","rank_change","profit.margin","num..of.employees","ceo_founder","ceo_woman","age","BS","MBA"
"279","Financials",0.492492492492492,0.547945205479452,0.625972589069229,0.0043391914994393,0,1,0.521739130434783,0,0
"280","Financials",0.495495495495495,0.636986301369863,0.586904062047419,0.00229505320350608,0,0,0.521739130434783,0,0
"281","Financials",0.496496496496497,0.633561643835616,0.732766730160503,0.00168140261433333,0,0,0.536231884057971,0,0
"282","Health Care",0.497497497497497,0.636986301369863,0.548933452083502,0.0124316518246559,0,0,0.521739130434783,0,0
"283","Financials",0.4994994994995,0.636986301369863,0.654645696744932,0.00709698270278084,0,0,0.521739130434783,0,0
"284","Financials",0.502502502502503,0.636986301369863,0.553340354522496,0.00195095431757736,0,0,0.753623188405797,0,0
"285","Financials",0.503503503503503,0.636986301369863,0.74236620055132,0.00332462252534036,0,0,0.521739130434783,0,0
"286","Health Care",0.506506506506507,0.636986301369863,0.496233010442495,0.00352235438185158,0,0,0.521739130434783,0,0
"287","Financials",0.508508508508508,0.636986301369863,0.54773583181411,0.00378508774521591,0,0,0.391304347826087,0,0
"288","Financials",0.509509509509509,0.636986301369863,0.559039139490762,0.00261324239789195,0,0,0.521739130434783,0,0
"289","Technology",0.511511511511512,0.636986301369863,0.512018551499926,0.0157953661653066,0,0,0.521739130434783,0,0
"290","Financials",0.513513513513513,0.636986301369863,0.599733587635156,5.63649430054969e-05,0,0,0.521739130434783,0,0
"291","Health Care",0.514514514514514,0.636986301369863,0.504482730128881,0.0194318141011451,0,0,0.72463768115942,0,0
"292","Energy",0.515515515515516,0.636986301369863,0.49120510073228,0.000616832481116608,0,0,0.521739130434783,0,0
"293","Technology",0.517517517517518,0.636986301369863,0.708617292515939,0.00745880927239677,0,0,0.521739130434783,0,0
"294","Financials",0.519519519519519,0.636986301369863,0.607707100653586,0.00215868640591214,0,0,0.550724637681159,0,1
"295","Technology",0.521521521521522,0.636986301369863,0.53104260751255,0.00828882851375191,0,0,0.521739130434783,0,0
"296","Energy",0.523523523523523,0.636986301369863,0.528566702085065,0.00604923114126737,0,0,0.521739130434783,0,0
"297","Retailing",0.525525525525526,0.636986301369863,0.516874791136944,0.0100906884659599,0,0,0.521739130434783,0,0
"298","Energy",0.532532532532533,0.636986301369863,0.535782904034936,0.00377826940533621,0,0,0.521739130434783,0,0
"299","Energy",0.533533533533533,0.636986301369863,0.548575482239158,0.000885929628368658,0,0,0.521739130434783,0,0
"300","Financials",0.534534534534535,0.636986301369863,0.531499492037031,0.00415873277062332,0,0,0.521739130434783,0,0
"301","Technology",0.536536536536537,0.636986301369863,0.626223862527576,0.00738608031368,0,0,0.521739130434783,0,0
"302","Technology",0.537537537537538,0.636986301369863,0.598884518527453,0.00820428109924366,0,0,0.521739130434783,0,0
"303","Energy",0.538538538538539,0.636986301369863,0.574005958953453,0.00207550265937983,0,0,0.376811594202899,0,0
"304","Financials",0.541541541541542,0.636986301369863,0.648653006971933,0.000178185948856087,0,0,0.521739130434783,0,0
"305","Retailing",0.543543543543544,0.636986301369863,0.522407523703321,0.0127043854198438,0,0,0.36231884057971,0,1
"306","Financials",0.544544544544545,0.636986301369863,0.55729475768349,0.00402236597302937,0,0,0.521739130434783,0,0
"307","Health Care",0.546546546546547,0.636986301369863,0.811495923623162,0.00137775921169082,0,0,0.521739130434783,0,0
"308","Technology",0.548548548548549,0.636986301369863,0.522083217739467,0.0100225050671629,0,0,0.521739130434783,0,0
"309","Financials",0.553553553553554,0.636986301369863,0.544735760669138,0.00193140840992223,0,0,0.521739130434783,0,0
"310","Retailing",0.554554554554555,0.636986301369863,0.477735228355685,0.00520784800011273,0,0,0.376811594202899,0,0
"311","Financials",0.557557557557558,0.636986301369863,0.779789105838146,0.00195868176944102,0,0,0.521739130434783,1,0
"312","Retailing",0.558558558558559,0.636986301369863,0.450925824343835,0.0054314895481668,0,0,0.521739130434783,0,0
"313","Technology",0.567567567567568,0.636986301369863,0.547316978039177,0.00393145477463341,0,0,0.521739130434783,1,0
"314","Financials",0.56956956956957,0.636986301369863,0.607715812152372,0.00438601076661323,0,0,0.463768115942029,1,0
"315","Technology",0.572572572572573,0.636986301369863,0.490528986207435,0.00538603394896882,0,0,0.521739130434783,0,0
"316","Health Care",0.576576576576577,0.636986301369863,0.505070989851142,0.0108861614519246,0,0,0,0,0
"317","Technology",0.57957957957958,0.636986301369863,0.55003695601371,0.0103406942615488,1,0,0.521739130434783,0,0
"318","Energy",0.580580580580581,0.636986301369863,0.599211168922283,0.000549558194303595,0,0,0.405797101449275,0,0
"319","Energy",0.581581581581582,0.636986301369863,0.455231620236008,0.0029768871914758,0,0,0.521739130434783,0,0
"320","Health Care",0.582582582582583,0.636986301369863,0.538718830646452,0.0161999209981686,0,0,0.391304347826087,0,0
"321","Energy",0.584584584584585,0.636986301369863,0.382397025064018,0.000637287500755699,0,0,0.521739130434783,0,0
"322","Technology",0.587587587587588,0.636986301369863,0.659908481964066,0.00453146868404677,0,0,0.521739130434783,0,0
"323","Health Care",0.588588588588589,0.636986301369863,0.488262841874216,0.0249773972032988,0,0,0.521739130434783,0,0
"324","Financials",0.591591591591592,0.636986301369863,0.599611240834909,0.00142957859477652,0,0,0.565217391304348,0,0
"325","Health Care",0.596596596596597,0.636986301369863,0.694140566254185,0.00330689484165315,0,0,0.521739130434783,0,0
"326","Technology",0.600600600600601,0.636986301369863,0.538526128391044,0.0042582805328669,0,0,0.521739130434783,0,0
"327","Energy",0.601601601601602,0.636986301369863,0.255969049950646,0.00101411441810697,0,0,0.072463768115942,0,0
"328","Retailing",0.603603603603604,0.636986301369863,0.5687215465959,0.00638605713132441,0,0,0.521739130434783,0,0
"329","Energy",0.604604604604605,0.636986301369863,0.299248912462869,0.000270915371219969,0,0,0.521739130434783,0,0
"330","Technology",0.606606606606607,0.636986301369863,0.43381007978811,0.00997704946796494,0,0,0.521739130434783,0,0
"331","Energy",0.607607607607608,0.636986301369863,0.43399393951742,0.000225459772021988,1,0,0.521739130434783,0,0
"332","Health Care",0.612612612612613,0.636986301369863,0.648744430140816,0.00629514593292844,0,0,0.521739130434783,0,0
"333","Retailing",0.615615615615616,0.636986301369863,0.51609689561766,0.012249829427864,0,0,0.652173913043478,0,0
"334","Technology",0.616616616616617,0.636986301369863,0.58358748652754,0.0061587791353345,0,0,0.521739130434783,0,0
"335","Financials",0.61961961961962,0.636986301369863,0.608774282538486,0.001959136325433,0,1,0.434782608695652,0,1
"336","Technology",0.620620620620621,0.636986301369863,0.523224073673245,0.00757881205427944,0,0,0.521739130434783,0,0
"337","Energy",0.624624624624625,0.636986301369863,0.671273446463653,0.000350462669816437,0,0,0.63768115942029,0,0
"338","Health Care",0.625625625625626,0.636986301369863,0.677058729170097,0.00134048562034847,0,0,0.376811594202899,0,0
"339","Financials",0.626626626626627,0.636986301369863,0.637281429516419,0.0021641410778159,1,0,0.521739130434783,0,0
"340","Financials",0.631631631631632,0.636986301369863,0.522083295286964,0.00161321921553636,0,0,0.521739130434783,0,0
"341","Financials",0.635635635635636,0.636986301369863,0.589066192306065,0.00208595744719537,0,0,0.565217391304348,0,0
"342","Health Care",0.637637637637638,0.636986301369863,0.441498942366086,0.021977327656232,0,1,0.521739130434783,0,0
"343","Technology",0.638638638638639,0.636986301369863,0.506253904912111,0.0134544028066105,0,0,0.521739130434783,0,0
"344","Health Care",0.640640640640641,0.636986301369863,0.494112823466896,0.0104316054599448,0,0,0.0434782608695652,0,0
"345","Health Care",0.641641641641642,0.636986301369863,0.530177379981367,0.0068860687225022,0,0,0.521739130434783,0,0
"346","Financials",0.642642642642643,0.636986301369863,0.554966761581317,0.00147685241794242,0,0,0.521739130434783,0,0
"347","Retailing",0.643643643643644,0.636986301369863,0.514605557829084,0.00761335830966991,1,0,0.753623188405797,0,0
"348","Technology",0.644644644644645,0.636986301369863,0.513054290720267,0.00418146057022231,0,0,0.521739130434783,1,0
"349","Financials",0.645645645645646,0.636986301369863,0.540532769864149,0.00202231960831819,0,0,0.521739130434783,0,0
"350","Energy",0.646646646646647,0.636986301369863,0.527000045310583,0.000300461510698657,0,0,0.521739130434783,0,0
"351","Retailing",0.648648648648649,0.636986301369863,0.491492771263552,0.00547694514736478,0,0,0.521739130434783,0,0
"352","Retailing",0.650650650650651,0.636986301369863,0.466437842720104,0.00330598572966919,1,0,0.231884057971014,1,0
"353","Retailing",0.652652652652653,0.636986301369863,0.533430736272125,0.0136362252034024,0,0,0.521739130434783,0,0
"354","Financials",0.654654654654655,0.636986301369863,0.56162576613533,0.000211368536270614,0,1,0.521739130434783,0,0
"355","Financials",0.655655655655656,0.636986301369863,0.515318407782734,0.00172185809761954,0,0,0.826086956521739,0,0
"356","Financials",0.658658658658659,0.636986301369863,0.698110034250203,0.00348053523058944,0,0,0.521739130434783,0,0
"357","Financials",0.666666666666667,0.636986301369863,0.558298524188794,0.00148503442579805,0,1,0.681159420289855,0,0
"358","Financials",0.66966966966967,0.636986301369863,0.545617057425037,0.00189368026258791,0,0,0.521739130434783,0,0
"359","Energy",0.673673673673674,0.636986301369863,0.493296714494084,0.00149730743758151,0,0,0.521739130434783,0,0
"360","Energy",0.674674674674675,0.636986301369863,0.589285794478668,0.00161185554756042,0,0,0.144927536231884,0,0
"361","Technology",0.675675675675676,0.636986301369863,0.396583167859083,0.00552240074656276,1,0,0.478260869565217,1,1
"362","Retailing",0.677677677677678,0.636986301369863,0.493448527972679,0.0117952734358842,0,1,0.521739130434783,0,1
"363","Technology",0.67967967967968,0.636986301369863,0,0.00256005934683031,1,0,0.521739130434783,0,0
"364","Energy",0.681681681681682,0.636986301369863,0.602301296036872,0.00306779838987177,0,0,0.521739130434783,0,0
"365","Technology",0.683683683683684,0.636986301369863,0.534020877240764,0.00287824854121618,0,0,0.521739130434783,0,1
"366","Retailing",0.684684684684685,0.636986301369863,0.486825356334447,0.00703970864779138,0,0,0.521739130434783,0,0
"367","Technology",0.686686686686687,0.636986301369863,0.677137650592753,0.0034768987826536,0,0,0.420289855072464,1,0
"368","Financials",0.687687687687688,0.636986301369863,0.703599598328297,0.00159685519982509,0,0,0.521739130434783,0,0
"369","Financials",0.68968968968969,0.636986301369863,0.572272870822416,0.0037064495586034,0,0,0.521739130434783,0,0
"370","Health Care",0.690690690690691,0.636986301369863,0.198163653889222,0.00428600844837767,1,0,0.521739130434783,0,0
"371","Financials",0.694694694694695,0.636986301369863,0.502244148304892,0.00125002897794449,0,0,0.521739130434783,0,0
"372","Energy",0.695695695695696,0.636986301369863,0.492139480482814,0.000326825758233486,0,0,0.521739130434783,0,0
"373","Technology",0.696696696696697,0.636986301369863,0.499977663949444,0.00164503813497495,1,0,0.521739130434783,0,0
