CEO,name,company,rank,sector,newcomer,ceo_founder,ceo_woman,birth_year,age
Robert A. Katz,Robert Katz,Vail Resorts,929,"Hotels, Restaurants & Leisure",,no,no,,
Jeffrey W. Benck,Jeffrey Benck,Benchmark Electronics,930,Technology,,no,no,,
Jeffrey D. Lorenger,Jeffrey Lorenger,HNI,931,Household Products,,no,no,,
,,F5 Networks,932,Technology,,no,no,,
Jay C. Horgen,Jay Horgen,Affiliated Managers Group,933,Financials,,no,no,,
Sean R. Trauschke,Sean Trauschke,OGE Energy,934,Energy,,no,no,,
George C. Freeman III,George Freeman III,Universal,935,"Food, Beverages & Tobacco",,no,no,,
"Steven G, Bradshaw","Steven G, Bradshaw",BOK Financial,936,Financials,,no,no,,
Kevin M. Phillips,Kevin Phillips,ManTech International,937,Technology,,no,no,1973,47
Anne P. Noonan,Anne Noonan,Summit Materials,938,Materials,,yes,yes,1950,70
Susan R. Salka,Susan Salka,AMN Healthcare Services,939,Health Care,,no,yes,,
Aaron Cooper,Aaron Cooper,Groupon,940,Technology,,no,no,1958,62
Barry M. Gosin,Barry Gosin,Newmark Group,941,Financials,,no,no,,
Kosta N. Kartsotis,Kosta Kartsotis,Fossil Group,942,Apparel,,no,no,,
Neil D. Brinker,Neil Brinker,Modine Manufacturing,943,Motor Vehicles & Parts,,no,no,1969,51
Ronald J. Kramer,Ronald Kramer,Griffon,944,Materials,,no,no,1958,62
Robert LeFort,Robert LeFort,Cypress Semiconductor,945,Technology,,no,no,,
Aaron Jagdfeld,Aaron Jagdfeld,Generac Holdings,946,Industrials,,no,no,,
Matthew J. Cox,Matthew Cox,Matson,947,Transportation,,no,no,,
Mimi Eckel Vaughn,Mimi Eckel Vaughn,Genesco,948,Retailing,,no,yes,,
Sundaram Nagarajan,Sundaram Nagarajan,Nordson,949,Industrials,,no,no,,
Thomas E. Gottwald,Thomas Gottwald,NewMarket,950,Chemicals,,no,no,1953,67
Douglas R. Waggoner,Douglas Waggoner,Echo Global Logistics,951,Transportation,,no,no,,
Todd A. Adams,Todd Adams,Rexnord,952,Industrials,,no,no,1960,60
,,Incyte,953,Health Care,,no,no,,
Ken Xie,Ken Xie,Fortinet,954,Technology,,yes,no,,
Ruben D. Mendoza,Ruben Mendoza,Foundation Building Materials,955,Wholesalers,,no,no,,
John M. Holmes,John Holmes,AAR,956,Aerospace & Defense,,no,no,,
Jason Rabin,Jason Rabin,Centric Brands,957,Apparel,,no,no,,
Rod R. Little,Rod Little,Edgewell Personal Care,958,Household Products,,no,no,1956,64
Michael G. Kerr,Michael Kerr,Federated Mutual Insurance,959,Financials,,no,no,1934,86
Tamara L. Lundgren,Tamara Lundgren,Schnitzer Steel Industries,960,Materials,,no,yes,,
Maria M. Pope,Maria Pope,Portland General Electric,961,Energy,,no,yes,,
Hilton H. Howell Jr.,Hilton Howell Jr.,Gray Television,962,Media,,no,no,,
Howard W. Lutnick,Howard Lutnick,BGC Partners,963,Financials,,no,no,1961,59
Michael T. Dugan,Michael Dugan,EchoStar,964,Technology,,no,no,1957,63
Allan P. Merrill,Allan Merrill,Beazer Homes USA,965,Engineering & Construction,,no,no,,
Keith G. Myers,Keith Myers,LHC Group,966,Health Care,,yes,no,1986,34
Brett T. Ponton,Brett Ponton,ServiceMaster Global Holdings,967,Business Services,,no,no,,
Frank H. Laukien,Frank Laukien,Bruker,968,Technology,,no,no,,
Douglas E. Brooks,Douglas Brooks,Oasis Petroleum,969,Energy,,no,no,1965,55
Charles M. Nifong Jr.,Charles Nifong Jr.,CrossAmerica Partners,970,Energy,,no,no,1959,61
Richard Swartz Jr.,Richard Swartz Jr.,MYR Group,971,Engineering & Construction,,no,no,,
Richard A. Baldridge,Richard Baldridge,Viasat,972,Technology,,yes,no,,
Kenneth A. Martindale,Kenneth Martindale,GNC Holdings,973,Food & Drug Stores,,no,no,,
Dan Dinges,Dan Dinges,Cabot Oil & Gas,974,Energy,,no,no,,
Stephen H. Kramer,Stephen Kramer,Bright Horizons Family Solutions,975,Business Services,,no,no,1979,41
Christopher T. Metz,Christopher Metz,Vista Outdoor,976,Household Products,,no,no,,
Laurans A. Mendelson,Laurans Mendelson,HEICO,977,Aerospace & Defense,,no,no,,
Geoffrey A. Ballotti,Geoffrey Ballotti,Wyndham Hotels & Resorts,978,"Hotels, Restaurants & Leisure",,no,no,,
David T. Provost,David Provost,TCF Financial,979,Financials,,no,no,,
Glenn J. Williams,Glenn Williams,Primerica,980,Financials,,no,no,,
Phillip A. Gobe,Phillip Gobe,ProPetro Holding,981,Energy,,no,no,,
Roderick A. Larson,Roderick Larson,Oceaneering International,982,Energy,,no,no,,
Thomas Taylor Jr.,Thomas Taylor Jr.,Floor & Decor Holdings,983,Retailing,,no,no,1981,39
A. Jayson Adair,A. Jayson Adair,Copart,984,Retailing,,no,no,1970,50
Molly Langenstein,Molly Langenstein,Chico's FAS,985,Retailing,,no,yes,,
Michael P. Huseby,Michael Huseby,Barnes & Noble Education,986,Retailing,,no,no,,
Daniel L. Jablonsky,Daniel Jablonsky,Maxar Technologies,987,Aerospace & Defense,,no,no,,
Ralph L. Schlosstein,Ralph Schlosstein,Evercore,988,Financials,,no,no,1961,59
David Powers,David Powers,Deckers Outdoor,989,Apparel,,no,no,1998,22
Timothy G. Baxter,Timothy Baxter,Express,990,Retailing,,no,no,,
Ara K. Hovnanian,Ara Hovnanian,Hovnanian Enterprises,991,Engineering & Construction,,no,no,,
John L. Plueger,John Plueger,Air Lease,992,Business Services,,no,no,,
Gary W. Rollins,Gary Rollins,Rollins,993,Business Services,,no,no,1944,76
Jeffrey A. Stoops,Jeffrey Stoops,SBA Communications,994,Financials,,no,no,,
Barry C. McCarthy,Barry McCarthy,Deluxe,995,Media,,no,no,1990,30
Jay Bray,Jay Bray,Mr. Cooper Group,996,Financials,,no,no,,
Lawrence H. Silber,Lawrence Silber,Herc Holdings,997,Business Services,,no,no,,
Thomas M. Herzog,Thomas Herzog,Healthpeak Properties,998,Financials,,no,no,1942,78
Marcus G. Michael,Marcus Michael,SPX FLOW,999,Industrials,,no,no,,
Christopher A. Wright,Christopher Wright,Liberty Oilfield Services,1000,Energy,,yes,no,,
